                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.08613,                0.83532,                 0.9871,                 1.3347,             0.00016618,             0.00016618,             0.00016618
                     64,                0.08731,                0.82143,                0.98909,                 1.3384,             0.00015735,             0.00015735,             0.00015735
                     65,                0.08543,                0.82242,                0.98611,                 1.3457,             0.00014851,             0.00014851,             0.00014851
                     66,                0.07921,                0.83036,                 0.9871,                 1.3419,             0.00013968,             0.00013968,             0.00013968
                     67,                 0.0804,                0.81845,                 0.9881,                 1.3479,             0.00013084,             0.00013084,             0.00013084
                     68,                0.07946,                0.81944,                 0.9881,                 1.3474,               0.000122,               0.000122,               0.000122
                     69,                0.08109,                0.83234,                 0.9881,                 1.3374,             0.00011317,             0.00011317,             0.00011317
                     70,                0.07186,                0.84028,                 0.9871,                 1.3328,             0.00010433,             0.00010433,             0.00010433
                     71,                0.07669,                0.82937,                0.98512,                 1.3368,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     72,                0.06737,                0.83234,                0.98611,                 1.3346,             8.6662e-05,             8.6662e-05,             8.6662e-05
                     73,                0.07116,                 0.8254,                 0.9871,                 1.3413,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     74,                0.06032,                0.82937,                0.98611,                 1.3386,              6.899e-05,              6.899e-05,              6.899e-05
                     75,                0.06348,                0.81448,                 0.9871,                 1.3423,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     76,                0.06048,                0.81746,                0.98611,                 1.3466,             5.1319e-05,             5.1319e-05,             5.1319e-05
                     77,                0.05313,                0.81548,                0.98512,                 1.3429,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     78,                0.05811,                0.82639,                0.98611,                 1.3441,             3.3647e-05,             3.3647e-05,             3.3647e-05
                     79,                0.05881,                0.82242,                0.98611,                 1.3418,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     80,                0.05355,                0.82143,                0.98611,                 1.3428,             1.5976e-05,             1.5976e-05,             1.5976e-05
