                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55366,                0.82143,                      1,                0.49835,             0.00023724,             0.00023724,             0.00023724
                      2,                0.51611,                0.74504,                      1,                0.55536,              0.0004674,              0.0004674,              0.0004674
                      3,                0.50061,                0.79266,                      1,                0.52265,              0.0006897,              0.0006897,              0.0006897
                      4,                0.49307,                0.80159,                      1,                0.52555,             0.00067866,             0.00067866,             0.00067866
                      5,                0.46858,                0.81052,                      1,                0.51051,             0.00066688,             0.00066688,             0.00066688
                      6,                0.45407,                0.80159,                      1,                0.50638,             0.00065509,             0.00065509,             0.00065509
                      7,                 0.4297,                0.81052,                      1,                0.49941,             0.00064331,             0.00064331,             0.00064331
                      8,                0.41522,                 0.8502,                      1,                0.48016,             0.00063153,             0.00063153,             0.00063153
                      9,                0.40827,                0.84821,                      1,                 0.4787,             0.00061975,             0.00061975,             0.00061975
                     10,                0.39024,                0.84921,                      1,                0.48157,             0.00060797,             0.00060797,             0.00060797
                     11,                 0.3754,                0.84425,                      1,                0.47271,             0.00059619,             0.00059619,             0.00059619
                     12,                0.35808,                0.83829,                      1,                 0.4749,             0.00058441,             0.00058441,             0.00058441
                     13,                0.33691,                0.83929,                      1,                0.46554,             0.00057263,             0.00057263,             0.00057263
                     14,                0.33996,                0.85714,                      1,                0.46106,             0.00056085,             0.00056085,             0.00056085
                     15,                0.31946,                 0.8006,                      1,                0.50051,             0.00054907,             0.00054907,             0.00054907
                     16,                0.31464,                 0.8502,                      1,                0.45861,             0.00053728,             0.00053728,             0.00053728
                     17,                0.31148,                0.83135,                      1,                0.47471,              0.0005255,              0.0005255,              0.0005255
                     18,                 0.3017,                0.85417,                      1,                0.45931,             0.00051372,             0.00051372,             0.00051372
                     19,                0.29166,                0.83829,                      1,                0.47094,             0.00050194,             0.00050194,             0.00050194
                     20,                 0.2756,                0.83433,                      1,                0.48682,             0.00049016,             0.00049016,             0.00049016
                     21,                0.28851,                0.84821,                      1,                0.46854,             0.00047838,             0.00047838,             0.00047838
                     22,                0.27154,                0.86508,                      1,                0.44944,              0.0004666,              0.0004666,              0.0004666
                     23,                 0.2521,                0.87599,                      1,                0.44488,             0.00045482,             0.00045482,             0.00045482
                     24,                0.25563,                 0.8502,                      1,                 0.4573,             0.00044304,             0.00044304,             0.00044304
                     25,                0.22941,                0.84623,                      1,                0.45451,             0.00043126,             0.00043126,             0.00043126
                     26,                0.24329,                0.85516,                      1,                0.45282,             0.00041947,             0.00041947,             0.00041947
                     27,                0.20967,                0.87401,                      1,                0.44064,             0.00040769,             0.00040769,             0.00040769
                     28,                0.21329,                0.85119,                      1,                0.44816,             0.00039591,             0.00039591,             0.00039591
                     29,                0.21447,                 0.8621,                      1,                0.44952,             0.00038413,             0.00038413,             0.00038413
                     30,                0.19315,                0.84425,                      1,                0.45784,             0.00037235,             0.00037235,             0.00037235
                     31,                0.18216,                0.83929,                      1,                0.46137,             0.00036057,             0.00036057,             0.00036057
                     32,                0.18855,                 0.8631,                      1,                 0.4475,             0.00034879,             0.00034879,             0.00034879
                     33,                0.17828,                0.86905,                      1,                0.44712,             0.00033701,             0.00033701,             0.00033701
                     34,                0.16813,                0.86806,                      1,                0.44354,             0.00032523,             0.00032523,             0.00032523
                     35,                0.16877,                0.84028,                      1,                0.46191,             0.00031345,             0.00031345,             0.00031345
                     36,                0.15865,                0.85615,                      1,                0.45177,             0.00030167,             0.00030167,             0.00030167
                     37,                0.16259,                0.84226,                      1,                0.46723,             0.00028988,             0.00028988,             0.00028988
                     38,                 0.1491,                0.85714,                      1,                0.44472,              0.0002781,              0.0002781,              0.0002781
                     39,                0.13814,                0.84921,                      1,                0.46123,             0.00026632,             0.00026632,             0.00026632
                     40,                0.12959,                 0.8621,                      1,                0.44952,             0.00025454,             0.00025454,             0.00025454
                     41,                0.12459,                0.87103,                      1,                 0.4402,             0.00024276,             0.00024276,             0.00024276
                     42,                0.13507,                0.86111,                      1,                0.45017,             0.00023098,             0.00023098,             0.00023098
                     43,                0.12815,                0.87401,                      1,                0.44096,              0.0002192,              0.0002192,              0.0002192
                     44,                0.10758,                0.86508,                      1,                0.44373,             0.00020742,             0.00020742,             0.00020742
                     45,                0.11262,                0.84821,                      1,                0.45434,             0.00019564,             0.00019564,             0.00019564
                     46,                 0.1193,                0.84623,                      1,                0.45424,             0.00018385,             0.00018385,             0.00018385
                     47,                 0.0949,                0.84921,                      1,                0.45398,             0.00017207,             0.00017207,             0.00017207
                     48,                0.08529,                0.85714,                      1,                0.45115,             0.00016029,             0.00016029,             0.00016029
                     49,                0.08522,                0.85218,                      1,                0.45403,             0.00014851,             0.00014851,             0.00014851
                     50,                0.08397,                0.85119,                      1,                0.45191,             0.00013673,             0.00013673,             0.00013673
                     51,                0.08531,                0.86012,                      1,                0.44658,             0.00012495,             0.00012495,             0.00012495
                     52,                0.08928,                0.84921,                      1,                0.44966,             0.00011317,             0.00011317,             0.00011317
                     53,                0.09382,                0.85516,                      1,                0.44881,             0.00010139,             0.00010139,             0.00010139
                     54,                0.07614,                0.85714,                      1,                0.44522,             8.9607e-05,             8.9607e-05,             8.9607e-05
                     55,                0.07336,                0.85615,                      1,                0.44825,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     56,                0.07001,                 0.8631,                      1,                0.44841,             6.6045e-05,             6.6045e-05,             6.6045e-05
                     57,                0.07211,                0.86607,                      1,                0.44421,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     58,                0.06845,                 0.8621,                      1,                0.44419,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     59,                0.06286,                0.87103,                      1,                 0.4421,             3.0702e-05,             3.0702e-05,             3.0702e-05
                     60,                0.07139,                0.87103,                      1,                0.43955,             1.8921e-05,             1.8921e-05,             1.8921e-05
